Title,URL,Tag String,Number of Works
The Maze Runner Series - All Media Types,https://archiveofourown.org/tags/The%20Maze%20Runner%20Series%20-%20All%20Media%20Types/works,The%20Maze%20Runner%20Series%20-%20All%20Media%20Types,4212
Snow Queen - All Media Types,https://archiveofourown.org/tags/Snow%20Queen%20-%20All%20Media%20Types/works,Snow%20Queen%20-%20All%20Media%20Types,4127
Frozen (2013),https://archiveofourown.org/tags/Frozen%20(2013)/works,Frozen%20(2013),4069
Transformers: Prime,https://archiveofourown.org/tags/Transformers:%20Prime/works,Transformers:%20Prime,3968
Guardians of the Galaxy (Movies),https://archiveofourown.org/tags/Guardians%20of%20the%20Galaxy%20(Movies)/works,Guardians%20of%20the%20Galaxy%20(Movies),3922
Tokusatsu,https://archiveofourown.org/tags/Tokusatsu/works,Tokusatsu,3869
Hiccup Series - All Media Types,https://archiveofourown.org/tags/Hiccup%20Series%20-%20All%20Media%20Types/works,Hiccup%20Series%20-%20All%20Media%20Types,3783
How to Train Your Dragon (Movies),https://archiveofourown.org/tags/How%20to%20Train%20Your%20Dragon%20(Movies)/works,How%20to%20Train%20Your%20Dragon%20(Movies),3751
IT (2017),https://archiveofourown.org/tags/IT%20(2017)/works,IT%20(2017),3499
Treasure Island & Related Fandoms,https://archiveofourown.org/tags/Treasure%20Island%20*a*%20Related%20Fandoms/works,Treasure%20Island%20*a*%20Related%20Fandoms,3297
Pirates of the Caribbean (Movies),https://archiveofourown.org/tags/Pirates%20of%20the%20Caribbean%20(Movies)/works,Pirates%20of%20the%20Caribbean%20(Movies),3281
Star Wars Legends: Sith Era - All Media Types,https://archiveofourown.org/tags/Star%20Wars%20Legends:%20Sith%20Era%20-%20All%20Media%20Types/works,Star%20Wars%20Legends:%20Sith%20Era%20-%20All%20Media%20Types,3162
Pitch Perfect (Movies),https://archiveofourown.org/tags/Pitch%20Perfect%20(Movies)/works,Pitch%20Perfect%20(Movies),3153
Chronicles of Narnia - All Media Types,https://archiveofourown.org/tags/Chronicles%20of%20Narnia%20-%20All%20Media%20Types/works,Chronicles%20of%20Narnia%20-%20All%20Media%20Types,2987
Batman (Movies - Nolan),https://archiveofourown.org/tags/Batman%20(Movies%20-%20Nolan)/works,Batman%20(Movies%20-%20Nolan),2945
Zootopia (2016),https://archiveofourown.org/tags/Zootopia%20(2016)/works,Zootopia%20(2016),2686
Ghostbusters - All Media Types,https://archiveofourown.org/tags/Ghostbusters%20-%20All%20Media%20Types/works,Ghostbusters%20-%20All%20Media%20Types,2651
Transformers (Bay Movies),https://archiveofourown.org/tags/Transformers%20(Bay%20Movies)/works,Transformers%20(Bay%20Movies),2586
Veronica Mars - All Media Types,https://archiveofourown.org/tags/Veronica%20Mars%20-%20All%20Media%20Types/works,Veronica%20Mars%20-%20All%20Media%20Types,2574
Spider-Man: Homecoming (2017),https://archiveofourown.org/tags/Spider-Man:%20Homecoming%20(2017)/works,Spider-Man:%20Homecoming%20(2017),2541
Kamen Rider - All Media Types,https://archiveofourown.org/tags/Kamen%20Rider%20-%20All%20Media%20Types/works,Kamen%20Rider%20-%20All%20Media%20Types,2518
The Hunger Games (Movies),https://archiveofourown.org/tags/The%20Hunger%20Games%20(Movies)/works,The%20Hunger%20Games%20(Movies),2470
The Man From U.N.C.L.E. (2015),https://archiveofourown.org/tags/The%20Man%20From%20U*d*N*d*C*d*L*d*E*d*%20(2015)/works,The%20Man%20From%20U*d*N*d*C*d*L*d*E*d*%20(2015),2363
Mad Max Series (Movies),https://archiveofourown.org/tags/Mad%20Max%20Series%20(Movies)/works,Mad%20Max%20Series%20(Movies),2338
Canadian 6 Degrees,https://archiveofourown.org/tags/Canadian%206%20Degrees/works,Canadian%206%20Degrees,2291
Resident Evil - All Media Types,https://archiveofourown.org/tags/Resident%20Evil%20-%20All%20Media%20Types/works,Resident%20Evil%20-%20All%20Media%20Types,2278
Big Hero 6 (2014),https://archiveofourown.org/tags/Big%20Hero%206%20(2014)/works,Big%20Hero%206%20(2014),2164
Newsies - All Media Types,https://archiveofourown.org/tags/Newsies%20-%20All%20Media%20Types/works,Newsies%20-%20All%20Media%20Types,2151
The Legend of Sleepy Hollow - All Media Types,https://archiveofourown.org/tags/The%20Legend%20of%20Sleepy%20Hollow%20-%20All%20Media%20Types/works,The%20Legend%20of%20Sleepy%20Hollow%20-%20All%20Media%20Types,2129
Star Wars Episode I: The Phantom Menace,https://archiveofourown.org/tags/Star%20Wars%20Episode%20I:%20The%20Phantom%20Menace/works,Star%20Wars%20Episode%20I:%20The%20Phantom%20Menace,2101
Ghostbusters (2016),https://archiveofourown.org/tags/Ghostbusters%20(2016)/works,Ghostbusters%20(2016),2062
The Amazing Spider-Man (Movies - Webb),https://archiveofourown.org/tags/The%20Amazing%20Spider-Man%20(Movies%20-%20Webb)/works,The%20Amazing%20Spider-Man%20(Movies%20-%20Webb),2058
Pride and Prejudice & Related Fandoms,https://archiveofourown.org/tags/Pride%20and%20Prejudice%20*a*%20Related%20Fandoms/works,Pride%20and%20Prejudice%20*a*%20Related%20Fandoms,2058
Dracula & Related Fandoms,https://archiveofourown.org/tags/Dracula%20*a*%20Related%20Fandoms/works,Dracula%20*a*%20Related%20Fandoms,1992
The Maze Runner (Movies),https://archiveofourown.org/tags/The%20Maze%20Runner%20(Movies)/works,The%20Maze%20Runner%20(Movies),1964
Beauty and the Beast - All Media Types,https://archiveofourown.org/tags/Beauty%20and%20the%20Beast%20-%20All%20Media%20Types/works,Beauty%20and%20the%20Beast%20-%20All%20Media%20Types,1956
The Losers - All Media Types,https://archiveofourown.org/tags/The%20Losers%20-%20All%20Media%20Types/works,The%20Losers%20-%20All%20Media%20Types,1885
Labyrinth (1986),https://archiveofourown.org/tags/Labyrinth%20(1986)/works,Labyrinth%20(1986),1874
Sherlock Holmes (Downey films),https://archiveofourown.org/tags/Sherlock%20Holmes%20(Downey%20films)/works,Sherlock%20Holmes%20(Downey%20films),1823
Descendants (Disney Movies),https://archiveofourown.org/tags/Descendants%20(Disney%20Movies)/works,Descendants%20(Disney%20Movies),1777
Fast and the Furious Series,https://archiveofourown.org/tags/Fast%20and%20the%20Furious%20Series/works,Fast%20and%20the%20Furious%20Series,1712
The Incredible Hulk (2008),https://archiveofourown.org/tags/The%20Incredible%20Hulk%20(2008)/works,The%20Incredible%20Hulk%20(2008),1692
Jurassic Park - All Media Types,https://archiveofourown.org/tags/Jurassic%20Park%20-%20All%20Media%20Types/works,Jurassic%20Park%20-%20All%20Media%20Types,1631
Jurassic Park (Movies),https://archiveofourown.org/tags/Jurassic%20Park%20(Movies)/works,Jurassic%20Park%20(Movies),1612
Robin Hood - All Media Types,https://archiveofourown.org/tags/Robin%20Hood%20-%20All%20Media%20Types/works,Robin%20Hood%20-%20All%20Media%20Types,1497
Le Fantôme de l'Opéra | Phantom of the Opera & Related Fandoms,https://archiveofourown.org/tags/Le%20Fant%C3%B4me%20de%20l'Op%C3%A9ra%20%7C%20Phantom%20of%20the%20Opera%20*a*%20Related%20Fandoms/works,Le%20Fant%C3%B4me%20de%20l'Op%C3%A9ra%20%7C%20Phantom%20of%20the%20Opera%20*a*%20Related%20Fandoms,1450
The Social Network (2010),https://archiveofourown.org/tags/The%20Social%20Network%20(2010)/works,The%20Social%20Network%20(2010),1450
The Wizard of Oz & Related Fandoms,https://archiveofourown.org/tags/The%20Wizard%20of%20Oz%20*a*%20Related%20Fandoms/works,The%20Wizard%20of%20Oz%20*a*%20Related%20Fandoms,1445
The Losers (2010),https://archiveofourown.org/tags/The%20Losers%20(2010)/works,The%20Losers%20(2010),1370
American Horror Story,https://archiveofourown.org/tags/American%20Horror%20Story/works,American%20Horror%20Story,1322
Batman v Superman: Dawn of Justice,https://archiveofourown.org/tags/Batman%20v%20Superman:%20Dawn%20of%20Justice/works,Batman%20v%20Superman:%20Dawn%20of%20Justice,1319
Fantastic Four,https://archiveofourown.org/tags/Fantastic%20Four/works,Fantastic%20Four,1297
Peter Pan & Related Fandoms,https://archiveofourown.org/tags/Peter%20Pan%20*a*%20Related%20Fandoms/works,Peter%20Pan%20*a*%20Related%20Fandoms,1260
Newsies (1992),https://archiveofourown.org/tags/Newsies%20(1992)/works,Newsies%20(1992),1257
Power Rangers (2017),https://archiveofourown.org/tags/Power%20Rangers%20(2017)/works,Power%20Rangers%20(2017),1249
Tangled (2010),https://archiveofourown.org/tags/Tangled%20(2010)/works,Tangled%20(2010),1241
Watchmen - All Media Types,https://archiveofourown.org/tags/Watchmen%20-%20All%20Media%20Types/works,Watchmen%20-%20All%20Media%20Types,1241
Terminator - All Media Types,https://archiveofourown.org/tags/Terminator%20-%20All%20Media%20Types/works,Terminator%20-%20All%20Media%20Types,1191
The Devil Wears Prada (2006),https://archiveofourown.org/tags/The%20Devil%20Wears%20Prada%20(2006)/works,The%20Devil%20Wears%20Prada%20(2006),1181
Jurassic World (2015),https://archiveofourown.org/tags/Jurassic%20World%20(2015)/works,Jurassic%20World%20(2015),1170
Thunderbirds,https://archiveofourown.org/tags/Thunderbirds/works,Thunderbirds,1150
Tron - All Media Types,https://archiveofourown.org/tags/Tron%20-%20All%20Media%20Types/works,Tron%20-%20All%20Media%20Types,1138
Suicide Squad (2016),https://archiveofourown.org/tags/Suicide%20Squad%20(2016)/works,Suicide%20Squad%20(2016),1136
The A-Team - All Media Types,https://archiveofourown.org/tags/The%20A-Team%20-%20All%20Media%20Types/works,The%20A-Team%20-%20All%20Media%20Types,1124
Divergent - All Media Types,https://archiveofourown.org/tags/Divergent%20-%20All%20Media%20Types/works,Divergent%20-%20All%20Media%20Types,1076
Wonder Woman (2017),https://archiveofourown.org/tags/Wonder%20Woman%20(2017)/works,Wonder%20Woman%20(2017),1037
Hellblazer & Related Fandoms,https://archiveofourown.org/tags/Hellblazer%20*a*%20Related%20Fandoms/works,Hellblazer%20*a*%20Related%20Fandoms,1001
Tron (Movies),https://archiveofourown.org/tags/Tron%20(Movies)/works,Tron%20(Movies),974
Sleeping Beauty - All Media Types,https://archiveofourown.org/tags/Sleeping%20Beauty%20-%20All%20Media%20Types/works,Sleeping%20Beauty%20-%20All%20Media%20Types,963
Mission: Impossible,https://archiveofourown.org/tags/Mission:%20Impossible/works,Mission:%20Impossible,960
The Eagle - Ambiguous Fandom,https://archiveofourown.org/tags/The%20Eagle%20-%20Ambiguous%20Fandom/works,The%20Eagle%20-%20Ambiguous%20Fandom,959
The Eagle | The Eagle of the Ninth - All Media Types,https://archiveofourown.org/tags/The%20Eagle%20%7C%20The%20Eagle%20of%20the%20Ninth%20-%20All%20Media%20Types/works,The%20Eagle%20%7C%20The%20Eagle%20of%20the%20Ninth%20-%20All%20Media%20Types,954
Twilight (Movies),https://archiveofourown.org/tags/Twilight%20(Movies)/works,Twilight%20(Movies),950
In the Loop (2009) & The Thick of It,https://archiveofourown.org/tags/In%20the%20Loop%20(2009)%20*a*%20The%20Thick%20of%20It/works,In%20the%20Loop%20(2009)%20*a*%20The%20Thick%20of%20It,948
Alien Series,https://archiveofourown.org/tags/Alien%20Series/works,Alien%20Series,943
Mission: Impossible (Movies),https://archiveofourown.org/tags/Mission:%20Impossible%20(Movies)/works,Mission:%20Impossible%20(Movies),915
Romeo And Juliet - All Media Types,https://archiveofourown.org/tags/Romeo%20And%20Juliet%20-%20All%20Media%20Types/works,Romeo%20And%20Juliet%20-%20All%20Media%20Types,913
Doctor Strange (2016),https://archiveofourown.org/tags/Doctor%20Strange%20(2016)/works,Doctor%20Strange%20(2016),899
Cinderella - All Media Types,https://archiveofourown.org/tags/Cinderella%20-%20All%20Media%20Types/works,Cinderella%20-%20All%20Media%20Types,894
Beauty and the Beast (2017),https://archiveofourown.org/tags/Beauty%20and%20the%20Beast%20(2017)/works,Beauty%20and%20the%20Beast%20(2017),893
Vampire Chronicles - All Media Types,https://archiveofourown.org/tags/Vampire%20Chronicles%20-%20All%20Media%20Types/works,Vampire%20Chronicles%20-%20All%20Media%20Types,879
Strange Magic (2015),https://archiveofourown.org/tags/Strange%20Magic%20(2015)/works,Strange%20Magic%20(2015),875
Star Wars Episode III: Revenge of the Sith,https://archiveofourown.org/tags/Star%20Wars%20Episode%20III:%20Revenge%20of%20the%20Sith/works,Star%20Wars%20Episode%20III:%20Revenge%20of%20the%20Sith,862
Wonder Woman - All Media Types,https://archiveofourown.org/tags/Wonder%20Woman%20-%20All%20Media%20Types/works,Wonder%20Woman%20-%20All%20Media%20Types,837
Serenity (2005),https://archiveofourown.org/tags/Serenity%20(2005)/works,Serenity%20(2005),813
The Magnificent Seven (2016),https://archiveofourown.org/tags/The%20Magnificent%20Seven%20(2016)/works,The%20Magnificent%20Seven%20(2016),805
The Eagle | The Eagle of the Ninth (2011),https://archiveofourown.org/tags/The%20Eagle%20%7C%20The%20Eagle%20of%20the%20Ninth%20(2011)/works,The%20Eagle%20%7C%20The%20Eagle%20of%20the%20Ninth%20(2011),789
Brave (2012),https://archiveofourown.org/tags/Brave%20(2012)/works,Brave%20(2012),786
Boondock Saints (Movies),https://archiveofourown.org/tags/Boondock%20Saints%20(Movies)/works,Boondock%20Saints%20(Movies),757
Tron: Legacy (2010),https://archiveofourown.org/tags/Tron:%20Legacy%20(2010)/works,Tron:%20Legacy%20(2010),750
Beauty and the Beast (1991),https://archiveofourown.org/tags/Beauty%20and%20the%20Beast%20(1991)/works,Beauty%20and%20the%20Beast%20(1991),745
Star Trek: The Original Series (Movies),https://archiveofourown.org/tags/Star%20Trek:%20The%20Original%20Series%20(Movies)/works,Star%20Trek:%20The%20Original%20Series%20(Movies),715
TARANTINO Quentin - Works,https://archiveofourown.org/tags/TARANTINO%20Quentin%20-%20Works/works,TARANTINO%20Quentin%20-%20Works,711
Charlie Countryman (2013),https://archiveofourown.org/tags/Charlie%20Countryman%20(2013)/works,Charlie%20Countryman%20(2013),709
The Faculty (1998),https://archiveofourown.org/tags/The%20Faculty%20(1998)/works,The%20Faculty%20(1998),707
The Chronicles of Riddick Series,https://archiveofourown.org/tags/The%20Chronicles%20of%20Riddick%20Series/works,The%20Chronicles%20of%20Riddick%20Series,705
Jupiter Ascending (2015),https://archiveofourown.org/tags/Jupiter%20Ascending%20(2015)/works,Jupiter%20Ascending%20(2015),705
Final Fantasy VII: Advent Children,https://archiveofourown.org/tags/Final%20Fantasy%20VII:%20Advent%20Children/works,Final%20Fantasy%20VII:%20Advent%20Children,686
The A-Team (2010),https://archiveofourown.org/tags/The%20A-Team%20(2010)/works,The%20A-Team%20(2010),681
Deadpool (2016),https://archiveofourown.org/tags/Deadpool%20(2016)/works,Deadpool%20(2016),665
Night at the Museum (Movies),https://archiveofourown.org/tags/Night%20at%20the%20Museum%20(Movies)/works,Night%20at%20the%20Museum%20(Movies),655
The Martian - All Media Types,https://archiveofourown.org/tags/The%20Martian%20-%20All%20Media%20Types/works,The%20Martian%20-%20All%20Media%20Types,651
Outsiders - Ambiguous Fandom,https://archiveofourown.org/tags/Outsiders%20-%20Ambiguous%20Fandom/works,Outsiders%20-%20Ambiguous%20Fandom,639
The Little Mermaid - All Media Types,https://archiveofourown.org/tags/The%20Little%20Mermaid%20-%20All%20Media%20Types/works,The%20Little%20Mermaid%20-%20All%20Media%20Types,631
Black Panther (2018),https://archiveofourown.org/tags/Black%20Panther%20(2018)/works,Black%20Panther%20(2018),627
Chronicles of Narnia (Movies),https://archiveofourown.org/tags/Chronicles%20of%20Narnia%20(Movies)/works,Chronicles%20of%20Narnia%20(Movies),627
King Arthur (2004),https://archiveofourown.org/tags/King%20Arthur%20(2004)/works,King%20Arthur%20(2004),627
Warcraft (2016),https://archiveofourown.org/tags/Warcraft%20(2016)/works,Warcraft%20(2016),627
Fantastic Four (Movies),https://archiveofourown.org/tags/Fantastic%20Four%20(Movies)/works,Fantastic%20Four%20(Movies),608
Master and Commander - All Media Types,https://archiveofourown.org/tags/Master%20and%20Commander%20-%20All%20Media%20Types/works,Master%20and%20Commander%20-%20All%20Media%20Types,605
Die Hard (Movies),https://archiveofourown.org/tags/Die%20Hard%20(Movies)/works,Die%20Hard%20(Movies),602
Maleficent (2014),https://archiveofourown.org/tags/Maleficent%20(2014)/works,Maleficent%20(2014),598
Heathers (1988),https://archiveofourown.org/tags/Heathers%20(1988)/works,Heathers%20(1988),595
Now You See Me (Movies),https://archiveofourown.org/tags/Now%20You%20See%20Me%20(Movies)/works,Now%20You%20See%20Me%20(Movies),584
Wolverine (Movies),https://archiveofourown.org/tags/Wolverine%20(Movies)/works,Wolverine%20(Movies),579
Snow White - All Media Types,https://archiveofourown.org/tags/Snow%20White%20-%20All%20Media%20Types/works,Snow%20White%20-%20All%20Media%20Types,578
Star Wars Episode IV: A New Hope,https://archiveofourown.org/tags/Star%20Wars%20Episode%20IV:%20A%20New%20Hope/works,Star%20Wars%20Episode%20IV:%20A%20New%20Hope,569
Adam (2009),https://archiveofourown.org/tags/Adam%20(2009)/works,Adam%20(2009),566
High School Musical (Movies),https://archiveofourown.org/tags/High%20School%20Musical%20(Movies)/works,High%20School%20Musical%20(Movies),561
Carol (2015),https://archiveofourown.org/tags/Carol%20(2015)/works,Carol%20(2015),552
Brokeback Mountain - All Media Types,https://archiveofourown.org/tags/Brokeback%20Mountain%20-%20All%20Media%20Types/works,Brokeback%20Mountain%20-%20All%20Media%20Types,548
Brokeback Mountain (2005),https://archiveofourown.org/tags/Brokeback%20Mountain%20(2005)/works,Brokeback%20Mountain%20(2005),538
Alice in Wonderland (Movies - Burton),https://archiveofourown.org/tags/Alice%20in%20Wonderland%20(Movies%20-%20Burton)/works,Alice%20in%20Wonderland%20(Movies%20-%20Burton),528
